DATAFLOW,LAST UPDATE,freq,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,European Union - 28 countries (2013-2020),2016,38.3,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,European Union - 28 countries (2013-2020),2017,38.2,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,European Union - 28 countries (2013-2020),2018,38.1,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,European Union - 28 countries (2013-2020),2019,37.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,France,2013,45.5,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,France,2014,45.0,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,France,2015,43.6,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,France,2016,42.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,France,2017,42.3,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,France,2018,42.3,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,France,2019,41.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,France,2020,39.5,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,France,2021,40.8,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,France,2022,40.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,France,2023,40.6,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,France,2024,41.1,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Italy,2013,44.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Italy,2014,41.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Italy,2015,40.8,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Italy,2016,40.8,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Italy,2017,40.7,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Italy,2018,40.8,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Italy,2019,41.0,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Italy,2020,40.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Italy,2021,40.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Italy,2022,39.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Italy,2023,38.8,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Italy,2024,38.1,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United Kingdom,2013,26.8,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United Kingdom,2014,26.2,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United Kingdom,2015,26.0,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United Kingdom,2016,26.1,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United Kingdom,2017,26.3,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United Kingdom,2018,26.2,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United Kingdom,2019,26.1,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United States,2013,29.4,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United States,2014,29.5,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United States,2015,29.2,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United States,2016,29.2,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United States,2017,29.2,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United States,2018,27.6,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United States,2019,27.5,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United States,2020,23.5,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United States,2021,24.7,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United States,2022,27.8,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United States,2023,27.5,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,United States,2024,27.6,,
